boundary,total,inert,ramified,split,inert_trivial,inert_non_trivial,inert_rank_inc,inert_rank_same,inert_rank_0,inert_rank_0_inc,inert_rank_0_same,inert_rank_1,inert_rank_1_inc,inert_rank_1_same,inert_rank_2,inert_rank_2_inc,inert_rank_2_same,inert_cyclic_0,inert_cyclic_0_rank_same,inert_cyclic_1,inert_cyclic_1_rank_same,inert_cyclic_2,inert_cyclic_2_rank_same,inert_cyclic_3,inert_cyclic_3_rank_same,ramified_trivial,ramified_non_trivial,ramified_rank_inc,ramified_rank_same,ramified_rank_0,ramified_rank_0_inc,ramified_rank_0_same,ramified_rank_1,ramified_rank_1_inc,ramified_rank_1_same,ramified_rank_2,ramified_rank_2_inc,ramified_rank_2_same,ramified_cyclic_0,ramified_cyclic_0_rank_same,ramified_cyclic_1,ramified_cyclic_1_rank_same,ramified_cyclic_2,ramified_cyclic_2_rank_same,ramified_cyclic_3,ramified_cyclic_3_rank_same
78383153152,23825621307,11540535348,744550628,11540535331,11156848707,383686641,11169223220,371312128,11156848707,11156848707,0,383674296,12374496,371299800,12345,17,12328,11156848707,0,371852322,359858977,11682462,11305838,139512,134985,719819856,24730772,720619020,23931608,719819856,719819856,0,24730017,799163,23930854,755,1,754,719819856,0,23998653,23223177,727249,703696,4115,3981
78651588608,23907215954,11580057801,747100470,11580057683,11195056998,385000803,11207473853,372583948,11195056998,11195056998,0,384988419,12416838,372571581,12384,17,12367,11195056998,0,373125292,361090964,11722932,11344974,140195,135643,722285340,24815130,723087354,24013116,722285340,722285340,0,24814374,802013,24012361,756,1,755,722285340,0,24080405,23302159,729835,706202,4134,4000
78920024064,23988810595,11619580206,749650294,11619580095,11233266211,386313995,11245725233,373854973,11233266211,11233266211,0,386301565,12459005,373842560,12430,17,12413,11233266211,0,374397144,362321972,11763581,11384321,140840,136267,724749844,24900450,725554563,24095731,724749844,724749844,0,24899692,804718,24094974,758,1,757,724749844,0,24163069,23382194,732464,708757,4159,4023
79188459520,24070405193,11659102562,752200157,11659102474,11271475290,387627272,11283976794,375125768,11271475290,11271475290,0,387614789,12501486,375113303,12483,18,12465,11271475290,0,375669116,363552745,11804209,11423688,141464,136870,727214740,24985417,728022233,24177924,727214740,727214740,0,24984658,807492,24177166,759,1,758,727214740,0,24245419,23461855,735069,711277,4170,4034
79456894976,24151999762,11698625039,754749948,11698624775,11309683783,388941256,11322227902,376397137,11309683783,11309683783,0,388928732,12544101,376384631,12524,18,12506,11309683783,0,376941968,364784344,11844651,11462790,142113,137497,729679649,25070299,730489827,24260121,729679649,729679649,0,25069538,810177,24259361,761,1,760,729679649,0,24327678,23541509,737676,713804,4184,4048
79725330432,24233594306,11738147172,757299803,11738147331,11347890174,390256998,11360476559,377670613,11347890174,11347890174,0,390244419,12586367,377658052,12579,18,12561,11347890174,0,378216184,366017646,11885459,11502263,142776,138143,732144511,25155292,732957342,24342461,732144511,732144511,0,25154530,812830,24341700,762,1,761,732144511,0,24410048,23621307,740277,716325,4205,4068
79993765888,24315188906,11777669656,759849646,11777669604,11386096481,391573175,11398725411,378944245,11386096481,11386096481,0,391560546,12628912,378931634,12629,18,12611,11386096481,0,379490944,367251292,11926116,11541512,143486,138830,734609373,25240273,735424952,24424694,734609373,734609373,0,25239508,815578,24423930,765,1,764,734609373,0,24492363,23700974,742919,718868,4226,4088
80262201344,24396783511,11817192111,762399451,11817191949,11424304119,392887992,11436975394,380216717,11424304119,11424304119,0,392875321,12671257,380204064,12671,18,12653,11424304119,0,380764523,368483833,11966626,11580734,144172,139497,737074535,25324916,737892962,24506489,737074535,737074535,0,25324149,818426,24505723,767,1,766,737074535,0,24574434,23780283,745468,721331,4247,4109
80530636800,24478378081,11856714333,764949295,11856714453,11462512164,394202169,11475225805,381488528,11462512164,11462512164,0,394189449,12713623,381475826,12720,18,12702,11462512164,0,382037441,369715694,12007185,11620006,144823,140126,739539428,25409867,740360596,24588699,739539428,739539428,0,25409097,821167,24587930,770,1,769,739539428,0,24656767,23859968,748068,723838,4262,4124
80799072256,24559972757,11896236816,767499098,11896236843,11500719343,395517473,11513475607,382761209,11500719343,11500719343,0,395504709,12756246,382748463,12764,18,12746,11500719343,0,383311287,370948271,12047893,11659389,145529,140803,742004279,25494819,742828144,24670954,742004279,742004279,0,25494046,823864,24670182,773,1,772,742004279,0,24739141,23939732,750624,726308,4281,4142
