boundary,total,inert,ramified,split,inert_trivial,inert_non_trivial,inert_rank_inc,inert_rank_same,inert_rank_0,inert_rank_0_inc,inert_rank_0_same,inert_rank_1,inert_rank_1_inc,inert_rank_1_same,inert_rank_2,inert_rank_2_inc,inert_rank_2_same,inert_cyclic_0,inert_cyclic_0_rank_same,inert_cyclic_1,inert_cyclic_1_rank_same,inert_cyclic_2,inert_cyclic_2_rank_same,inert_cyclic_3,inert_cyclic_3_rank_same,inert_cyclic_4,inert_cyclic_4_rank_same,ramified_trivial,ramified_non_trivial,ramified_rank_inc,ramified_rank_same,ramified_rank_0,ramified_rank_0_inc,ramified_rank_0_same,ramified_rank_1,ramified_rank_1_inc,ramified_rank_1_same,ramified_rank_2,ramified_rank_2_inc,ramified_rank_2_same,ramified_cyclic_0,ramified_cyclic_0_rank_same,ramified_cyclic_1,ramified_cyclic_1_rank_same,ramified_cyclic_2,ramified_cyclic_2_rank_same,ramified_cyclic_3,ramified_cyclic_3_rank_same,ramified_cyclic_4,ramified_cyclic_4_rank_same
13690208256,4161324184,1993967766,173388484,1993967934,1903722396,90245370,1907643529,86324237,1903722396,1903722396,0,90238315,3921112,86317203,7055,21,7034,1903722396,0,86518290,82758821,3657128,3498141,62897,60241,0,0,165554335,7834149,165894499,7493985,165554335,165554335,0,7833597,340164,7493433,552,0,552,165554335,0,7524617,7197668,306386,293281,2594,2484,0,0
13958643712,4242918770,2033065069,176788318,2033065383,1941049607,92015462,1945047886,88017183,1941049607,1941049607,0,92008259,3998258,88010001,7203,21,7182,1941049607,0,88213324,84379933,3730377,3568238,64558,61830,0,0,168800307,7988011,169147081,7641237,168800307,168800307,0,7987443,346774,7640669,568,0,568,168800307,0,7672107,7338836,312643,299255,2693,2578,0,0
14227079168,4324513465,2072162655,180188056,2072162754,1978377784,93784871,1982452616,89710039,1978377784,1978377784,0,93777519,4074811,89702708,7352,21,7331,1978377784,0,89908144,86001416,3803160,3637880,66215,63412,0,0,172046542,8141514,172399941,7788115,172046542,172046542,0,8140937,353399,7787538,577,0,577,172046542,0,7819377,7479736,318783,305144,2777,2658,0,0
14495514624,4406108058,2111260068,183587818,2111260172,2015703804,95556264,2019855672,91404396,2015703804,2015703804,0,95548767,4151847,91396920,7497,21,7476,2015703804,0,91604678,87624134,3876167,3707717,67922,65069,0,0,175292106,8295712,175652363,7935455,175292106,175292106,0,8295125,360257,7934868,587,0,587,175292106,0,7967210,7621008,325053,311117,2862,2743,0,0
14763950080,4487702617,2150357460,186987595,2150357562,2053028662,97328798,2057257419,93100041,2053028662,2053028662,0,97321178,4228736,93092442,7620,21,7599,2053028662,0,93302059,89247852,3949478,3777878,69641,66712,0,0,178538219,8449376,178905137,8082458,178538219,178538219,0,8448776,366918,8081858,600,0,600,178538219,0,8114610,7761977,331226,317061,2940,2820,0,0
15032385536,4569297319,2189454858,190387440,2189455021,2090354543,99100315,2094660469,94794389,2090354543,2090354543,0,99092548,4305904,94786644,7767,22,7745,2090354543,0,94998802,90870662,4022372,3847611,71374,68371,0,0,181784610,8602830,182158226,8229214,181784610,181784610,0,8602210,373616,8228594,620,0,620,181784610,0,8261693,7902662,337480,323021,3037,2911,0,0
15300820992,4650891933,2228552307,193787204,2228552422,2127681131,100871176,2132064034,96488273,2127681131,2127681131,0,100863272,4382880,96480392,7904,23,7881,2127681131,0,96694651,92492796,4095493,3917541,73128,70055,0,0,185030512,8756692,185410859,8376345,185030512,185030512,0,8756064,380347,8375717,628,0,628,185030512,0,8409232,8043757,343723,328981,3109,2979,0,0
15569256448,4732486599,2267649856,197186992,2267649751,2165007939,102641917,2169467603,98182253,2165007939,2165007939,0,102633871,4459641,98174230,8046,23,8023,2165007939,0,98390517,94115173,4168477,3987339,74877,71718,0,0,188276967,8910025,188663949,8523043,188276967,188276967,0,8909386,386982,8522404,639,0,639,188276967,0,8556409,8184569,349794,334784,3183,3051,0,0
15837691904,4814081145,2306747228,200586719,2306747198,2202333496,104413732,2206870204,99877024,2202333496,2202333496,0,104405548,4536684,99868864,8184,24,8160,2202333496,0,100087128,95738014,4241815,4057470,76605,73380,0,0,191522904,9063815,191916507,8670212,191522904,191522904,0,9063168,393603,8669565,647,0,647,191522904,0,8703818,8325612,356075,340812,3275,3141,0,0
16106127360,4895675740,2345844633,203986504,2345844603,2239658266,106186367,2244272124,101572509,2239658266,2239658266,0,106178061,4613834,101564227,8306,24,8282,2239658266,0,101784735,97361724,4314948,4127429,78378,75074,0,0,194769235,9217269,195169511,8816993,194769235,194769235,0,9216613,400276,8816337,656,0,656,194769235,0,8850882,8466292,362364,346815,3367,3230,0,0
16374562816,4977270342,2384942041,207386278,2384942023,2276986157,107955884,2281676829,103265212,2276986157,2276986157,0,107947441,4690648,103256793,8443,24,8419,2276986157,0,103479322,98982736,4388006,4197306,80113,76751,0,0,198014698,9371580,198421563,8964715,198014698,198014698,0,9370913,406865,8964048,667,0,667,198014698,0,8998813,8607897,368647,352838,3453,3313,0,0
16642998272,5058864917,2424039506,210786033,2424039378,2314313105,109726401,2319080772,104958734,2314313105,2314313105,0,109717813,4767642,104950171,8588,25,8563,2314313105,0,105174818,100604540,4461191,4267274,81804,78357,0,0,201260666,9525367,201674175,9111858,201260666,201260666,0,9524686,413509,9111177,681,0,681,201260666,0,9146175,8748875,374967,358905,3544,3397,0,0
16911433728,5140459585,2463137033,214185779,2463136773,2351639117,111497916,2356483879,106653154,2351639117,2351639117,0,111489204,4844737,106644467,8712,25,8687,2351639117,0,106871104,102226975,4534469,4337376,83631,80116,0,0,204506073,9679706,204926217,9259562,204506073,204506073,0,9679018,420144,9258874,688,0,688,204506073,0,9294083,8890420,381286,364958,3649,3496,0,0
17179869184,5222054160,2502234332,217585603,2502234225,2388969156,113265176,2393890876,108343456,2388969156,2388969156,0,113256337,4921695,108334642,8839,25,8814,2388969156,0,108563047,103845294,4607896,4407539,85394,81809,0,0,207752631,9832972,208179523,9406080,207752631,207752631,0,9832273,426892,9405381,699,0,699,207752631,0,9440888,9030784,387647,371016,3738,3581,0,0
17448304640,5303648711,2541331661,220985369,2541331681,2426293798,115037863,2431292950,110038711,2426293798,2426293798,0,115028867,4999126,110029741,8996,26,8970,2426293798,0,110260379,105468526,4681359,4477760,87129,83455,0,0,210997951,9987418,211431639,9553730,210997951,210997951,0,9986709,433688,9553021,709,0,709,210997951,0,9588882,9172259,393983,377079,3844,3683,0,0
17716740096,5385243285,2580429173,224385152,2580428960,2463620381,116808792,2468696762,111732411,2463620381,2463620381,0,116799638,5076355,111723283,9154,26,9128,2463620381,0,111956840,107091027,4753866,4547068,88932,85188,0,0,214244346,10140806,214684777,9700375,214244346,214244346,0,10140085,440431,9699654,721,0,721,214244346,0,9735857,9312750,400294,383133,3934,3771,0,0
17985175552,5466837906,2619526574,227784886,2619526446,2500947774,118578800,2506100637,113425937,2500947774,2500947774,0,118569526,5152837,113416689,9274,26,9248,2500947774,0,113651654,108712570,4827145,4617214,90727,86905,0,0,217490037,10294849,217937171,9847715,217490037,217490037,0,10294119,447134,9846985,730,0,730,217490037,0,9883527,9453995,406567,389131,4025,3859,0,0
18253611008,5548432510,2658623927,231184656,2658623927,2538273274,120350653,2543503433,115120494,2538273274,2538273274,0,120341236,5230132,115111104,9417,27,9390,2538273274,0,115347986,110334838,4900809,4687712,92441,88554,0,0,220735259,10449397,221189113,9995543,220735259,220735259,0,10448655,453854,9994801,742,0,742,220735259,0,10031608,9595647,412940,395218,4107,3936,0,0
